Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
"  IPA 2008 - Collection Point for Fruits and Vegtables for the Municipalities of Rahovec, Mamusha, Prizren and Suhareka"," - Mamusha
 - Prizren
 - Rahovec
 - Suhareka",European Union Office,250 - BUSINESS AND OTHER SERVICES,Municipality of Rahovec,Municipality of Rahovec,0,0,0,0,411283.594,327615.651,411283.594,327615.651
"  IPA 2008 - Follow up on animal identification, registration and movement control system, including GIS", ,European Union Office,311 - AGRICULTURE,WYG International Limited," - Kosovo Veterinary and Food Agency
 - Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,1578735.55,568700.404,1578735.55,568700.404
  IPA 2007 - SME Support through the Ministry of Trade and Industry in Kosovo, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,European Consultants Organisation,Ministry of Trade and Industry,0,0,4233088.5,0,0,826824.3,4233088.5,826824.3
  IPA 2009 - Support in the Implementation of Transport Community Agreement (EU-TCA), ,European Union Office,210 - TRANSPORT AND STORAGE,Egis Bceom International SA,Ministry of Transport and Post Telecommunication,0,0,0,0,2099359.699,613872.679,2099359.699,613872.679
  IPA 2009 - Rural Development Grants - Improving the Processing Line and Supply - MOEA, ,European Union Office,311 - AGRICULTURE,MOEA sh.p.k,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Medical Equipment Clinic Gorazdevac,Peja,Embassy of Netherlands,120 - HEALTH,Experimental Studio Group,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Crossing all bridges," - Mitrovica
 - North Mitrovica",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - Further Support to Land Use, ,European Union Office,311 - AGRICULTURE,GFA Consulting Group GMBH,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,2097737.54,685335.924,2097737.54,685335.924
  IPA 2008 - EU Standards for the Ministry of Justice, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Stiftung fur Internationale Rechtliche Zusammenarbeit Irz-Stiftung,Ministry of Justice,0,0,3387600,1074271.287,0,0,3387600,1074271.287
  IPA 2008 - IT Pilot Project in the field of Education in Kosovo (UNSCR 1244), ,European Union Office,110 - EDUCATION,King ICT DOO,"Ministry of Education, Science and Technology",0,0,2961727.9,568195.68,0,451325.477,2961727.9,1019521.157
  Law Enforcement Information Management System, ,United States Department of State,220 - COMMUNICATION,US Department of Justice,Kosovo Police,0,0,0,0,0,0,0,0
"  IPA 2009 - Rural Development Grants - Strengthening Competiveness of Poultry Meat Processing Plant ''KONSONI"" in Livoc Gjilan Municipality through Technological upgrade of Poultry Meat Proccessing Plant", ,European Union Office,311 - AGRICULTURE,Konsoni sh.p.k. Gjakove,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Support on upgrading power transmission system to meet the Energy Community technical standards – Lot 2, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Siemens Aktiengesellschaft Osterreich," - Ministry of Economic Development
 - Transmission System and Market Operator, JSC",0,0,0,0,1119446.296,0,1119446.296,0
  IPA 2009 - Further Institutional Support to Water and Waste Regulatory Office (WWRO), ,European Union Office,140 - WATER AND SANITATION,IPA Energy + Waterconsulting LTD,Ministry of Environment and Spatial Planning,0,0,0,0,2345552,426377.6,2345552,426377.6
  IPA 2009 - Operational support to the Regional Development Agency - East, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal," - Agjencia per Zhvillimrajonal
 - Ministry of Local Government and Administration",0,0,0,0,339164,139513.428,339164,139513.428
  IPA 2009 - Rural Development Grants - Quality Improvement in Milk Processing Industry, ,European Union Office,311 - AGRICULTURE,N.P.T. KABI,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Rural Development Grants - Promotion of Initiative for Development of Small Diary Farms thus supporting the Dairy Industry to Contribute towards Economic Growth in Kosovo, ,European Union Office,311 - AGRICULTURE,Sh.p.k Devolli Group,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Further Support to Juvenile Justice Reforms in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Children's Fund,Ministry of Justice,0,0,2473185,0,0,691197.732,2473185,691197.732
"  IPA 2009 - Rural Development Grants - Improving Meat Processing, Quality, Distribution and Meat Product Market in Kosovo", ,European Union Office,311 - AGRICULTURE,NTP Feti,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Rural Development Grants - Improving of Processing Patato Storage Facilities, ,European Union Office,311 - AGRICULTURE,Pestova Sh.p.k,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Rural Development Grants - Modernization of Vegetable Processing Capacities, ,European Union Office,311 - AGRICULTURE,"NTP ""MIB-TRADE""",N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Regional Centre for Family Businesses (RCFB), ,European Union Office,250 - BUSINESS AND OTHER SERVICES,Municipality of Skenderaj,Municipality of Skenderaj,0,0,0,0,505280.355,266082.8,505280.355,266082.8
  IPA 2009 - Building of Green Market in Dragash Municipality,Dragash,European Union Office,250 - BUSINESS AND OTHER SERVICES,Municipality of Dragash,Municipality of Dragash,0,0,0,0,220034.835,180970.913,220034.835,180970.913
  IPA 2009 - Installation and commissioning of Firewalls on the existing IT system for KOSTT Market Operator, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Siemens Aktiengesellschaft Osterreich,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Kosovo Economic Development through Quality and Networking, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,European Software Institute – Center Bulgaria,N/A Beneficiary Organization,0,0,0,0,346514.218,0,346514.218,0
  IPA 2009 - Training and Coaching Service to Start - up Entrepreneurs, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,Prishtina Regional Enterprise Agency,N/A Beneficiary Organization,0,0,0,0,452836.798,156611.531,452836.798,156611.531
  IPA 2009 - Rrual Development Grants - Improved Dairy and Milk Production in Euro-Lona, ,European Union Office,311 - AGRICULTURE,Euro-Lona,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2009 - Human Rights Film Factory - Human Rights Stories from the Kosovo margins, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Dokufest - International Documentary and Short Film Festival,Civil Society,0,0,0,0,244635.926,141694.235,244635.926,141694.235
  IPA 2009 - Rural Development Grants - Vegetable (un)chain - Unleashing competitiveness of the vegetable processing chain in South - West Kosovo, ,European Union Office,311 - AGRICULTURE,Kosova Development Centre,N/A Beneficiary Organization,0,0,0,0,359154.744,0,359154.744,0
  IPA 2009 - Supply of equipment for Hydro-meteorological institute, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,EAS Envimet Analytical Systems G.m.b.H,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Culture for All in Kosovo, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,ARS Proguetti Spa - Ambiente Risorse E Sviluppo,Ministry of Culture Youth and Sports,0,0,0,0,69906.804,122700,69906.804,122700
  IPA 2009 - Further Support to Sustainable Forestry Management, ,European Union Office,312 - FORESTRY,Republic Osterreich," - Kosovo Forestry Agency
 - Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,3752729.999,1407564,3752729.999,1407564
  EIDHR 2009 - Trafficking Prevention for Vulnerable Youth and Women in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Centre to Protect Victims and Prevent Trafficking in Human Beings,Civil Society,0,0,0,0,124556.381,57225.206,124556.381,57225.206
  IPA 2009 - Support to Legal Translators/Interpretors and Legal Linguists, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,SOFRECO - Societe Francaise de Realisation d'Etudes et de Conseil SA,"University of Pristina ""Hasan Pristina""",0,0,0,0,2086609.92,416586.812,2086609.92,416586.812
"  IPA 2009 - Tourism Development Project ""See you in Dukagjini""", ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Cultural Heritage Without Borders,N/A Beneficiary Organization,0,0,0,0,586344.677,371033.566,586344.677,371033.566
  IPA 2009 - Regional Economic Development in Eastern Kosovo Region (Project RED), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,CARE Deutschland- Luxembourg e.V.,N/A Beneficiary Organization,0,0,0,0,589321.789,369524.91,589321.789,369524.91
  IPA 2009 - Diversifying Economic Activity in the Region West, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Macedonian Enterprise Development Foundation,N/A Beneficiary Organization,0,0,0,0,452427.835,156303.984,452427.835,156303.984
  IPA 2009 - EU Support for the Implementation of the RAE Strategy, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Foundation of Open Society," - Office for Good Governance
 - Office of the Prime Minister",0,0,0,0,1211300,620682.909,1211300,620682.909
  IPA 2009 - Facilitating Business Friendly Environment through One Stop Shop and Business Advisory Services, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,Business Support Centre Kosovo,N/A Beneficiary Organization,0,0,0,0,587596.714,284501.605,587596.714,284501.605
  IPA 2009 - Operational support to the Regional Development Agency - South, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal," - Agjencia per Zhvillimrajonal
 - Ministry of Local Government and Administration",0,0,0,0,339138.562,135648.641,339138.562,135648.641
  IPA 2009 - Operational support to the Regional Development Agency - North, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal," - Agjencia per Zhvillimrajonal
 - Ministry of Local Government and Administration",0,0,0,0,339164,135665.6,339164,135665.6
  PHARE 2009 - Development of a Regional Cultural Heritage Facility in Kosovo, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,PEM GMBH,N/A Beneficiary Organization,0,0,0,0,1089200.96,231597.952,1089200.96,231597.952
  IPA 2008 & 2009 - EU Scholarship Scheme - Round VI, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,SOFRECO - Societe Francaise de Realisation d'Etudes et de Conseil SA,Ministry of European Integration,0,0,4233088.5,0,0,1140038.424,4233088.5,1140038.424
  IPA 2008 - Assessment of the performance of the Privatisation Agency of Kosovo (PAK) - II, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,ECORYS,Privatization Agency of Kosovo,0,0,0,0,37245.126,0,37245.126,0
  IPA 2009 - Rural Development Grants - Supporting the development and modernisation of agriculture and diary process in Kosovo, ,European Union Office,311 - AGRICULTURE,JSC Magic Ice,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2007 - TA for Supervision of Reconstruction of Bridges on the M2 Road, ,European Union Office,210 - TRANSPORT AND STORAGE,IRD Engineering,Ministry of Transport and Post Telecommunication,0,0,361921.698,182956.881,0,182697.972,361921.698,365654.854
  IPA 2008 - Strengthening the Rule of Law in Kosovo (readmission and asylum), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Agentur Fur Europaische Integrationund Wirtschaftliche Entwicklung,Ministry of Internal Affairs,0,0,1429400,594640,0,661850,1429400,1256490
  IPa 2007 - Supervision of the construction works for asylum seekers housing and holding facilities, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,STTE Consortium Societe Momentanee,Ministry of Internal Affairs,0,0,0,0,168551.447,100058.73,168551.447,100058.73
  IPA 2009 - European Union Electoral Reform Expert, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,SOFRECO - Societe Francaise de Realisation d'Etudes et de Conseil SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - IT Pilot Project in the field of Education - LOT 1, ,European Union Office,110 - EDUCATION,KONTRAX EAD,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  IPA 2008 - Legal Education System Reform, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Deutsche Stiftung fur Internationale Rechtliche Zusammenarbeit Irz-Stiftung,Kosovo Judicial Institute,0,0,5081400,1606532.677,0,1281603.852,5081400,2888136.529
  IPA 2007 and IPA 2010 - Privatization and Liquidation, ,European Union Office,250 - BUSINESS AND OTHER SERVICES,Pohl Consulting,Ministry of Trade and Industry,0,949348.68,4778584.3,646567.868,0,2180209.619,4778584.3,3776126.167
  IPA 2008 - Support to Kosovo's participation in the European Common Aviation Area, ,European Union Office,210 - TRANSPORT AND STORAGE,France,Ministry of Trade and Industry,0,0,0,0,1363000,535840,1363000,535840
  IPA 2010 - Technical Support to design the Grant Financing Facility supporting Small Medium Enterprises - SME's in Kosovo, ,European Union Office,321 - INDUSTRY,DFC SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - Supply of ear tags and ear tagging equipment for small ruminations and pigs in Kosovo, ,European Union Office,311 - AGRICULTURE,Ayvetsan Hayvancilik Gida Sanayi Ve Ticaret Ltd.Sti,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,247408.025,157341.945,247408.025,157341.945
  IPA 2008 - Support to the Health Sector - Capacity Building of Kosovo Medicines Agency, ,European Union Office,120 - HEALTH,The Federal Institute for Drugs and Medical Devices,Ministry of Health,0,0,0,0,1286900,558800,1286900,558800
"  EIDHR 2007 - Improving Human Rights of Women, Youth and minority groups in the region of Peja through awareness raising and education", ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Shoqata e Gruas Zana,Civil Society,99046.875,85356.25,0,0,0,0,99046.875,85356.25
  IPA 2010 - Preparation of complete tender dossier and cost estimation for ''Construction of Joint Border Crossing for road traffic between Kosovo and former Yugoslav Republic of Macedonia (fYROM) in Stançiq/Stan_i_'', ,European Union Office,210 - TRANSPORT AND STORAGE,Ove Arup and Partners International Ltd.,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2008 - Women Together for Human Rights, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovar Catholic Church Caritas,Civil Society,0,0,150760,117200,0,0,150760,117200
  EIDHR 2008 - Advocacy for Early Intervenation Programme for Children with Disability, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Shoqata Down Syndrome Kosova,N/A Beneficiary Organization,0,0,110716.636,85852.836,0,0,110716.636,85852.836
  IPA 2008 - ''Play for All'' - Children Festival in Kosovo, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,SOS- KInderdorf International,Civil Society,0,0,540430.419,213421.416,0,239005.789,540430.419,452427.205
  IPA 2011 - Assistance to the design of project in Public Administration Reform under IPA 2013, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,IBF International Consulting SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Support for the Railway Regulatory Authority (RRA), ,European Union Office,210 - TRANSPORT AND STORAGE,COWI Belgium SPRL,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Technical assistance during the Defects Liability Period for the works contract '' Replacement of water pipes for the Pristina Regional Water Company'',Pristina,European Union Office,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2008 - Kosovo Youth for Democracy and Peacebuilding, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Centar Za Zaednicka Osnova Skopje Fondacia,N/A Beneficiary Organization,0,0,150383.1,116907,0,0,150383.1,116907
  IPA 2011 - Assistance to the design of project in Public Finance under IPA 2012, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,DFC SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Evaluation of EU IPA projects covering support under the young cell scheme, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,IBF International Consulting SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2010 - Komunikimi, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,The Integration and Development Platform,Civil Society,0,0,0,0,390838.817,143624.91,390838.817,143624.91
  IPA 2010 - Assesment of project proposals under the Civil Society Facility for Kosovo 2011 Call for Proposal, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,IBF International Consulting SA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Needs Assessment and Feasibility study to Kosovo public security sector agencies on the establishment of an integrated Digital Professional Mobile Radio communication system, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,ASTEC Global Consultancy Ltd.,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Capacity building to implement state of the art surveillance systems for antibiotic consumption and resistance in Kosovo, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,National Institute of Public Health of Kosovo,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  IPA 2008 - Strengthening of the Ecologists and Farmers Associations' Role in Environment Protection, Recycling of Waste and Compost Production", ,European Union Office,311 - AGRICULTURE,Agricultural Producer and Livestock Farmers Association Agroklina,"Ministry for Agriculture, Forestry and Rural Development",0,0,174322.795,72749.608,0,0,174322.795,72749.608
  IPA 2008 - Dukagjini and Rugova Valley Access Action Plan,Peja,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Municipality of Peja,Municipality of Peja,0,0,0,0,678392.358,425284.473,678392.358,425284.473
"  IPA 2008 - The Economic Development of the Prizren Region through improvement of tourist, potential infrastructure, establishment of a regional Tourist Association and rural tourist oriented business start-up",Prizren,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Arbaiter-Samariter-Bund,Municipality of Prizren,0,0,0,0,459478.708,167611.134,459478.708,167611.134
  IPA 2008 - Aid Management Platform - Institutional Strengthening and Rollout, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Development Gateway International,AEI-Agency for European Integration and Economic Development in Austria,0,0,0,0,574833,247364.17,574833,247364.17
  IPA 2008 - EU/CoE Support to the Promotion of Cultural Diversity in Kosovo, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Council of Europe,Ministry of Culture Youth and Sports,0,0,3573500,1375584.519,0,0,3573500,1375584.519
  IPA 2008 - Transcending Vulnerability through the Women's Economic Empowerment Project, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Partners for Democratic Change International AISBL,N/A Beneficiary Organization,0,0,300766.2,0,0,139341.751,300766.2,139341.751
